\RISING
bin laden,Breakout
osama bin laden,Breakout
osama bin laden dead,Breakout
harold camping,"+1,400%"
doodle 4 google,"+1,400%"
rapture 2011,"+1,300%"
rapture,"+1,300%"
mildred baena,"+1,000%"
macho man randy savage,+850%
end of the world,+700%
indy 500,+600%
santorum,+550%
joplin mo,+550%
la noire,+550%
kentucky derby,+350%
pirates of the caribbean 4,+250%
memorial day 2011,+170%
hbo go,+170%
pippa middleton,+160%
celebrity apprentice,+130%
oprah,+100%
lady gaga,+70%
mothers day,+60%
edible arrangements,+50%
