RISING
do a barrel roll,Breakout
cyber monday,Breakout
cyber monday deals,"+3,600%"
jerry sandusky,"+2,850%"
heavy d,"+2,300%"
black friday,"+2,200%"
black friday 2011,"+1,800%"
walmart black friday 2011,"+1,650%"
joe paterno,"+1,300%"
skyrim,"+1,300%"
joe frazier,"+1,200%"
target black friday 2011,"+1,150%"
thanksgiving,+600%
christmas tree,+350%
modern warfare 3,+200%
kindle fire,+170%
thanksgiving 2011,+150%
toys r us,+150%
justin bieber,+130%
bestbuy,+110%
victoria secret,+90%
beats by dre,+90%
uggs,+80%
victorias secret,+80%
best buy,+80%
