RISING,percent
cyber monday,"+4,450%"
election results,"+2,800%"
black friday,"+2,450%"
black friday 2010,"+1,600%"
black friday 2010 ads,"+1,350%"
love and other drugs,+650%
tsa,+400%
emma watson,+250%
harry potter and the deathly hallows,+250%
darren criss,+200%
toys r us,+160%
frostwire,+160%
hotmail iniciar sesion,+100%
thanksgiving 2010,+100%
where is chuck norris,+90%
walmart.com,+90%
best buy,+80%
bestbuy,+80%
walmart,+70%
macys,+70%
xbox,+60%
kohls,+60%
victoria secret,+60%
nicki minaj,+60%
target,+60%
